Velocity2,Rise_In_Insulin,CGM_Difference,Skewness,Variance,Max_Value,Min_Value,Mean_Value,Entropy,RMS,bins,kmeans_bins,dbscan_bins
3.0,195.86666666666667,0.1116751269035533,-0.664043297390224,115.81926278240188,219.0,176.0,202.21,3.365860701389415,203.21,3,2,4
6.0,223.93333333333334,0.22448979591836735,0.5472800019489032,439.7312722948871,240.0,173.0,200.69,3.3619231805152063,203.7,5,2,4
-5.0,199.06666666666666,0.0,-0.041075633858633075,1686.2520808561237,239.0,125.0,180.76,3.34109984600792,190.8,4,5,4
-3.0,197.4,0.01282051282051282,-0.08021849372462338,4300.133174791915,237.0,74.0,156.93,3.275392553478828,176.84,6,3,6
3.0,251.0,0.4041666666666667,-0.059504714289130616,1210.5873959571938,337.0,221.0,277.59,3.35938355315193,276.44,3,4,4
-4.0,185.8,0.6713615023474179,0.8542541966744304,3713.959571938169,356.0,178.0,243.62,3.337626901486173,236.45,6,3,4
8.0,336.1333333333333,0.3422818791946309,-1.1143704185226555,3378.04042806183,400.0,198.0,341.55,3.3516194172466136,345.62,1,4,4
-5.0,78.0,0.6370370370370371,1.3385615227598098,1765.6908442330562,221.0,67.0,114.41,3.307064974187684,123.85,5,1,1
-7.0,142.26666666666668,0.3193717277486911,0.6987532032324284,2430.5921521997634,252.0,80.0,146.55,3.3130034933239987,158.58,2,1,5
0.0,155.2,0.2222222222222222,-0.1438425985316706,271.04161712247327,198.0,144.0,173.31,3.362750322092908,172.08,6,5,4
-6.0,174.73333333333332,0.12149532710280374,0.434236860016428,2190.877526753864,240.0,98.0,161.14,3.3259728117057987,171.86,1,5,6
2.0,230.06666666666666,0.09375,0.046185233364219744,1775.923900118906,245.0,126.0,180.28,3.339678480375888,190.42,5,2,4
-6.0,196.93333333333334,0.24066390041493776,0.6451423869393836,2569.074910820452,299.0,130.0,193.45,3.334193761662345,205.07,2,2,4
6.0,84.4,1.7971014492753623,-0.2582993799908277,2675.0011890606415,193.0,60.0,134.41,3.287798446746465,137.52,6,1,5
5.0,208.8,0.7727272727272727,0.005253636615723029,3802.856123662307,349.0,179.0,264.38,3.3397224754480495,261.26,1,3,4
4.0,319.93333333333334,0.11075949367088607,-0.5167837218555799,1263.1367419738408,351.0,232.0,310.03,3.3605633401098993,318.78,5,4,4
-2.0,232.06666666666666,0.0,-0.032510685075578694,1441.4149821640901,254.0,155.0,206.59,3.3502527528320583,215.21,2,2,4
0.0,156.73333333333332,0.15384615384615385,0.3605611743785321,171.88109393579077,195.0,147.0,163.34,3.364098526036326,165.43,6,5,4
-4.0,247.73333333333335,0.0,-0.07858426793203672,3461.217598097502,274.0,123.0,197.76,3.321819205975239,213.84,1,3,4
-4.0,227.86666666666667,0.07782101167315175,0.25862348620976583,1764.9845422116528,277.0,159.0,211.34,3.3477011615628762,220.33,5,2,4
-1.0,175.26666666666668,0.11518324607329843,0.9381978813518592,106.24256837098692,213.0,176.0,190.59,3.3658561224252743,189.03,3,5,4
-3.0,184.86666666666667,0.09433962264150944,0.09663480948397991,2648.1117717003567,232.0,99.0,157.48,3.3132169190556224,171.69,6,5,6
-2.0,173.66666666666666,0.04864864864864865,0.38831892227819165,167.14863258026156,194.0,149.0,167.76,3.364349717986899,170.24,3,5,4
9.0,169.8,1.3495934959349594,-0.39367894653439095,5140.145065398336,289.0,69.0,200.31,3.296926091823854,207.83,1,3,4
0.0,157.93333333333334,0.21084337349397592,-0.40833503289303574,829.6218787158144,201.0,100.0,156.41,3.3496928599222833,164.23,3,5,4
-1.0,167.33333333333334,0.1631578947368421,-0.31539766301541106,168.8703923900119,221.0,177.0,202.48,3.365219484608528,200.79,1,2,4
-10.0,154.06666666666666,0.0,-0.41591735093166565,1689.6218787158148,209.0,58.0,148.59,3.3257790424559857,161.31,5,5,5
1.0,73.86666666666666,0.6304347826086957,0.342664892980922,576.7158145065398,150.0,69.0,102.79,3.340280849055981,107.82,1,1,1
-5.0,135.2,0.043209876543209874,-0.40325741226256373,1053.8858501783593,169.0,59.0,117.9,3.3266527725873947,127.56,2,1,1
-5.0,205.26666666666668,0.06779661016949153,0.4556662672575912,1345.0344827586207,252.0,146.0,188.0,3.3486619027523026,195.41,3,2,4
7.0,135.93333333333334,1.150943396226415,-0.31723150958886215,1890.3495838287754,227.0,73.0,149.17,3.3218991352356104,146.08,3,1,5
4.0,278.26666666666665,0.11278195488721804,-0.6267833479067609,4299.042897039206,296.0,69.0,213.85,3.314909336637385,234.07,2,3,4
6.0,52.333333333333336,8.25,0.25122751979409386,16753.719381688465,370.0,40.0,192.07,3.1273769562166045,210.46,1,1,4
-3.0,323.53333333333336,0.051771117166212535,-0.8744902944726473,2527.0107015457793,386.0,201.0,323.24,3.3544737967541374,337.81,5,4,4
-6.0,294.8,0.04504504504504504,-0.5093504928813931,8661.474435196196,348.0,96.0,244.79,3.2862272741357943,274.45,1,3,4
-5.0,270.4,0.1326530612244898,0.11184137946295326,8008.211652794292,333.0,96.0,206.83,3.271095297183571,233.89,2,3,4
-1.0,205.46666666666667,0.06422018348623854,-0.6634954395449708,1307.0772889417362,232.0,124.0,187.52,3.3476566380038992,196.79,3,2,4
-5.0,176.06666666666666,0.03349282296650718,-0.126034514945269,1460.3943300201865,216.0,100.0,163.68,3.3392741458999966,174.14,2,5,4
2.0,129.73333333333332,0.5467625899280576,0.2429857073601599,1318.3638525564804,215.0,80.0,147.34,3.3367421795819694,152.86,3,1,4
1.0,253.0,0.4823529411764706,-0.10399465242372134,2859.512485136742,378.0,200.0,294.07,3.3504694696645525,288.62,2,4,4
1.0,253.0,0.4823529411764706,-0.10399465242372134,2859.512485136742,378.0,200.0,294.07,3.3504694696645525,288.62,1,4,4
1.0,315.4,0.11504424778761062,-1.306265483182626,3503.510107015458,378.0,149.0,315.72,3.3476958361716074,333.85,5,4,4
0.0,353.3333333333333,0.021621621621621623,-0.6994656470737807,10810.454221165279,378.0,96.0,275.45,3.28504143377339,309.16,1,3,4
-2.0,131.93333333333334,0.18543046357615894,-0.11730578102241222,693.2152199762188,179.0,89.0,130.52,3.346501222581337,137.2,2,1,4
8.0,126.33333333333333,0.95,0.09170200572173672,2506.799048751486,195.0,52.0,120.55,3.278107221140336,136.57,2,1,5
5.0,152.66666666666666,0.9714285714285714,-0.18323061388091,3197.2057074910817,276.0,105.0,200.03,3.3257159978445343,204.81,3,3,4
4.0,222.93333333333334,0.48672566371681414,0.38479318190372586,1766.9013079667066,336.0,190.0,256.83,3.3540649728044603,263.65,2,2,4
-1.0,210.8,0.14473684210526316,0.15712766557740127,453.2770511296076,261.0,179.0,219.59,3.362603305309812,222.8,1,2,4
0.0,228.06666666666666,0.13389121338912133,-0.23964239551955258,216.53269916765754,271.0,207.0,240.86,3.3654164428741384,244.63,5,2,4
2.0,88.6,0.84375,0.025167236827600345,755.6813317479189,177.0,91.0,131.21,3.3451393146954516,132.12,3,1,1
2.0,146.46666666666667,0.15384615384615385,-0.21679250231470923,59.954815695600495,165.0,136.0,152.1,3.3659941406393554,153.0,2,5,4
10.0,218.2,0.4427083333333333,-0.19149879422717794,1799.0963139120095,277.0,144.0,218.72,3.3480453158114205,227.33,3,2,4
3.0,207.66666666666666,0.105,-0.33881666391934645,1536.4137931034484,221.0,108.0,172.0,3.34025905626518,182.43,1,5,4
-0.0,73.26666666666667,0.7558139534883721,1.4669311107529523,293.68101764059423,146.0,76.0,96.24,3.352523316055619,92.06,5,1,1
2.0,92.8,0.7311827956989247,0.012770578110287936,899.9856925989532,161.0,84.0,123.75,3.3375595558817794,123.5,1,1,1
6.0,196.26666666666668,0.3352272727272727,-0.8881276220091073,704.8965517241379,233.0,148.0,203.0,3.3583455157239746,201.56,2,2,4
6.0,196.26666666666668,0.3352272727272727,-0.8881276220091073,704.8965517241379,233.0,148.0,203.0,3.3583455157239746,201.56,3,2,4
2.0,213.86666666666667,0.14150943396226415,-0.3878884771597029,101.40309155766943,242.0,207.0,226.9,3.366304700200183,227.59,2,2,4
-8.0,138.33333333333334,0.1,0.7921437997189608,828.8894173602853,209.0,115.0,149.72,3.3495398839417,154.11,3,5,4
3.0,159.53333333333333,0.21019108280254778,-0.5090452656745724,420.4209274673009,190.0,116.0,159.69,3.3588226047096565,164.69,2,5,4
2.0,59.06666666666667,1.8135593220338984,0.46452934864626,1213.0701545778832,166.0,58.0,99.41,3.307152468648355,102.81,1,1,1
10.0,157.53333333333333,1.4645669291338583,-0.1773278216463105,5016.984542211654,313.0,121.0,227.34,3.3165958760368985,228.63,5,3,4
12.0,143.53333333333333,1.6875,-0.39222442898429005,6756.570749108204,301.0,74.0,204.66,3.2776148354100725,217.15,1,3,4
5.0,340.2,0.14327485380116958,-0.31705765853718954,1064.2425683709866,391.0,286.0,346.59,3.362809416989116,353.69,1,4,4
4.0,134.66666666666666,0.56,0.5110611669928982,265.88585017835914,195.0,125.0,154.9,3.361821216183631,156.84,1,5,4
3.0,181.86666666666667,0.18681318681318682,-0.9422171835741361,265.01545778834713,216.0,159.0,195.14,3.3637132141666086,195.05,1,2,4
6.0,130.6,1.0873015873015872,0.12302183391895494,2280.2401902497027,263.0,115.0,183.03,3.3330051077264584,188.94,4,5,6
-1.0,134.06666666666666,0.20134228187919462,0.9964309366356114,100.48275862068965,179.0,132.0,149.0,3.3650760749907485,148.75,1,5,4
2.0,116.2,0.41025641025641024,-0.003632127218010206,402.76337693222365,165.0,107.0,137.83,3.3566361103920617,136.19,4,1,4
5.0,191.53333333333333,0.18181818181818182,-0.38059694439871017,1228.527942925089,221.0,100.0,167.24,3.3443338865370205,177.13,1,5,4
2.0,125.13333333333334,0.9514563106796117,0.26709928676316774,1703.246135552913,200.0,76.0,138.17,3.322758661216092,136.53,4,1,5
-1.0,223.53333333333333,0.008097165991902834,-0.39753168932028904,2621.2128418549346,249.0,102.0,187.55,3.327787579698899,199.79,1,2,4
5.0,106.13333333333334,1.0776699029126213,0.935022487753709,608.0879904875148,214.0,102.0,142.34,3.3528206976005186,143.64,3,1,1
4.0,134.8,0.3008130081300813,-0.6979445023030519,271.88585017835914,160.0,102.0,138.1,3.3599204332509918,136.6,4,5,4
2.0,148.26666666666668,0.3493150684931507,-0.01931137008444341,432.9036860879905,197.0,131.0,164.31,3.3592304972886535,162.66,1,5,4
1.0,184.0,0.2512820512820513,-0.11083602566050642,495.46730083234246,244.0,171.0,212.66,3.361778487787769,213.27,4,2,4
6.0,179.73333333333332,0.4155844155844156,-0.28264830310278244,521.9571938168848,218.0,141.0,182.21,3.359299227742231,183.39,4,5,4
6.0,179.73333333333332,0.4155844155844156,-0.28264830310278244,521.9571938168848,218.0,141.0,182.21,3.359299227742231,183.39,1,5,4
1.0,90.53333333333333,0.5979381443298969,0.1398104201227604,616.8513674197384,155.0,86.0,118.9,3.3454840241538646,119.0,1,1,1
2.0,252.93333333333334,0.06640625,-0.40348724302275485,1643.5362663495837,273.0,165.0,227.66,3.350929488356012,237.56,3,2,4
4.0,180.2,0.14689265536723164,-0.7882138787142698,799.7859690844233,203.0,116.0,170.72,3.3527910108855195,178.39,4,5,4
1.0,111.33333333333333,0.12173913043478261,-0.0782294702675662,28.82282996432818,129.0,107.0,117.93,3.3662574489347765,117.14,1,1,2
